,word1,word2,prediction
0,abandon,consigning,-0.6737346053123474
1,abandon,left,-0.954462680965662
2,abandon,soldier,-0.9438040666282177
3,about,wandering,-0.8877996578812599
4,abstract,moon,-0.8425115644931793
5,abstract,rally,-1.0970130637288094
6,abundance,wealth,-0.5528567135334015
7,abuse,access,-0.7676845043897629
8,accepted,accepted,-0.0
9,accepted,acknowledged,-0.5097543001174927
10,access,approach,-0.9146389663219452
11,access,gateway,-0.8363420516252518
12,accommodation,arrangement,-0.7047443687915802
13,accommodation,settlement,-0.8608861118555069
14,accompany,walking,-1.1598043590784073
15,accomplishment,pass,-0.9439448975026608
16,account,invoice,-0.9082467257976532
17,account,statement,-0.7261981666088104
18,acoustic,remedy,-1.0523879490792751
19,acre,earthquake,-0.9333688095211983
20,acrylic,cloth,-0.48117882013320923
21,act,counter,-0.9110667258501053
22,act,played,-0.8352038860321045
23,action,adjustment,-0.8918659836053848
24,activity,music,-0.890930213034153
25,add,increased,-0.781747117638588
26,add,string,-1.035385511815548
27,adult,type,-0.6762204766273499
28,advance,advance,-0.0
29,advance,recovery,-0.7271846830844879
30,advance,string,-0.7962870746850967
31,adventure,rail,-0.873339906334877
32,adventure,sixteen,-1.0589800998568535
33,advice,retail,-0.9450077190995216
34,advocate,booster,-0.9695651363581419
35,age,childhood,-0.5499492883682251
36,aged,develop,-0.9412752836942673
37,aged,worn,-0.7474207878112793
38,agency,office,-0.41005414724349976
39,agent,motor,-0.9454668834805489
40,agent,nature,-0.9044874906539917
41,aim,purpose,-0.35619378089904785
42,air,carnival,-0.6840505301952362
43,air,cold,-0.5911443829536438
44,air,plasma,-0.8207129538059235
45,aircraft,asphalt,-1.0239138081669807
46,aircraft,balloon,-0.6924223601818085
47,aircraft,guy,-0.9614322036504745
48,aircraft,yacht,-0.7967347353696823
49,airplane,plane,-0.18652629852294922
50,alarm,horn,-0.7729027718305588
51,alarm,press,-0.8814552947878838
52,albert,einstein,-0.25551891326904297
53,alley,punk,-0.7649537473917007
54,alloy,metal,-0.5582670271396637
55,american,lobster,-0.843467578291893
56,anatomy,palm,-0.9376220554113388
57,ancient,city,-0.6626102030277252
58,ancient,pod,-0.8663434982299805
59,animal,hand,-0.893344983458519
60,animal,pet,-0.3098369836807251
61,animal,wild,-0.4711061716079712
62,anniversary,birthday,-0.2566071152687073
63,answer,counter,-0.8234438002109528
64,answer,plea,-0.756112813949585
65,answering,react,-1.0081574125215411
66,anxiety,worry,-0.4702742099761963
67,apartment,bathroom,-0.385995090007782
68,apartment,beach,-0.6682819128036499
69,apartment,staircase,-0.6365697979927063
70,apartment,valley,-0.7664393782615662
71,apple,bank,-0.7250630557537079
72,apple,blossom,-0.6006554663181305
73,apple,cute,-0.9498934410512447
74,apple,dessert,-0.5923333168029785
75,apple,fruit,-0.5639916062355042
76,application,use,-0.7325767576694489
77,approach,avenue,-0.8336820006370544
78,approach,trench,-0.9551891535520554
79,approval,encouragement,-0.7933773696422577
80,arab,coffee,-0.8880438432097435
81,arch,curve,-0.7337249219417572
82,arch,shoulder,-0.7422592043876648
83,architecture,engineering,-0.37184756994247437
